train_single_dqn.py:130: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 445/100000, Total Reward: -5, loss: 16.796875
Episode 446/100000, Total Reward: -5, loss: 13.67190933227539
Episode 447/100000, Total Reward: -5, loss: 18.750102996826172
Episode 448/100000, Total Reward: -5, loss: 12.890668869018555
Episode 449/100000, Total Reward: -5, loss: 16.40638542175293
Episode 450/100000, Total Reward: -5, loss: 12.109375
Episode 451/100000, Total Reward: -5, loss: 19.14067840576172
Episode 452/100000, Total Reward: -5, loss: 13.671917915344238
Episode 453/100000, Total Reward: -5, loss: 17.18756675720215
Episode 454/100000, Total Reward: -5, loss: 17.57826042175293
Episode 455/100000, Total Reward: -5, loss: 13.671875
Episode 456/100000, Total Reward: -5, loss: 17.57819938659668
Episode 457/100000, Total Reward: -5, loss: 16.797021865844727
Episode 458/100000, Total Reward: 5, loss: 15.625
Episode 459/100000, Total Reward: -5, loss: 14.0625
Episode 460/100000, Total Reward: -5, loss: 10.546875
Episode 461/100000, Total Reward: -5, loss: 16.79694366455078
Episode 462/100000, Total Reward: -5, loss: 14.453125
Episode 463/100000, Total Reward: -5, loss: 17.18759536743164
Episode 464/100000, Total Reward: -5, loss: 13.671875
